"Trazado1"
"Tiempo (sec)","Desplazamiento angular1 (deg)"
0,-0.00271616156541112
0.04,-0.00254921052643857
0.08,-0.00157419803666718
0.12,-0.00110297212893682
0.16,-0.00469296087971889
0.2,-0.00729073814951316
0.24,-0.010972976419423
0.28,-0.0234031127506576
0.32,-0.0393076165254167
0.36,-0.0509661292453761
0.4,-0.0630573042791094
0.44,-0.0851674955002103
0.48,-0.11598070282017
0.52,-0.147898207175759
0.56,-0.17879333910387
0.6,-0.213952062508551
0.64,-0.256202515552779
0.68,-0.302563354171877
0.72,-0.351776947761254
0.76,-0.404802686577287
0.8,-0.461153677083886
0.84,-0.520092026396696
0.88,-0.581306512549352
0.92,-0.644210685126379
0.96,-0.708147138837912
1,-0.772431493589388
1.04,-0.836306077708683
1.08,-0.898969950998689
1.12,-0.959577083136415
1.16,-1.01724568571732
1.2,-1.07106591327912
1.24,-1.12009563487332
1.28,-1.16329119533205
1.32,-1.19962816762984
1.36,-1.25386261765588
1.4,-1.47004272832794
1.44,-1.87422794832294
1.48,-2.45699656133954
1.52,-3.18054909212819
1.56,-3.91912183296622
1.6,-4.65100366652962
1.64,-5.37605253400629
1.68,-6.0940932969545
1.72,-6.80488783264338
1.76,-7.50815304719443
1.8,-8.20356149366153
1.84,-8.89074282785509
1.88,-9.56929266642388
1.92,-10.2387844116096
1.96,-10.8987582623787
2,-11.5487364304734
2.04,-12.1882075592383
2.08,-12.8166458148049
2.12,-13.4335079118387
2.16,-14.0382291595171
2.2,-14.6302236351405
2.24,-15.208894281053
2.28,-15.7736277707205
2.32,-16.3237954666208
2.36,-16.8587536475127
2.4,-17.3778451408633
2.44,-17.8804007768261
2.48,-18.3657418546068
2.52,-18.8331778049235
2.56,-19.2820079050208
2.6,-19.711521962419
2.64,-20.1210040871425
2.68,-20.5097327422316
2.72,-20.8768620738558
2.76,-21.5179555144462
2.8,-22.6659771063034
2.84,-23.7583141035856
2.88,-24.8500257266036
2.92,-25.9377059111335
2.96,-27.0198725387095
3,-28.0950585394526
3.04,-29.1617918859001
3.08,-30.218620990412
3.12,-31.2640952604194
3.16,-32.1083511414915
3.2,-31.9292629953195
3.24,-31.1220005163872
3.28,-29.9271417891681
3.32,-28.7714851665678
3.36,-27.8039900682306
3.4,-27.0420148608332
3.44,-26.4355114570827
3.48,-25.9320170689831
3.52,-25.4739811228375
3.56,-25.0106267660598
3.6,-24.5141187387599
3.64,-23.9790054736342
3.68,-23.4015897440028
3.72,-22.7787497815574
3.76,-22.1080478125519
3.8,-21.3879092917925
3.84,-20.6178902030204
3.88,-19.7989364214327
3.92,-18.9336847357401
3.96,-18.0265509000712
4,-17.0945829028088
4.04,-16.1976346736422
4.08,-15.3582117812367
4.12,-14.5782749719641
4.16,-13.8629869369733
4.2,-13.221760712809
4.24,-12.6692622551734
4.28,-12.2258079475283
4.32,-11.8999223866897
4.36,-11.6602591370358
4.4,-11.463940331008
4.44,-11.2591169949869
4.48,-10.9928450653654
4.52,-10.598544742687
4.56,-9.97603768469408
4.6,-9.14501091190053
4.64,-8.3361652599966
4.68,-7.65989298531308
4.72,-7.03072781784831
4.76,-6.42387994077492
4.8,-5.83987699106764
4.84,-5.27924710836046
4.88,-4.74249216837324
4.92,-4.23008042400621
4.96,-3.74243023391162
5,-3.27992366202673
5.04,-2.84289022434236
5.08,-2.4315828302538
5.12,-2.04618809948403
5.16,-1.68680462142116
5.2,-1.35342415046252
5.24,-1.04600568189656
5.28,-0.763950196236635
5.32,-0.507596435242043
5.36,-0.276693909813249
5.4,-0.0684820562952819
5.44,-0.0318991756176606
5.48,-0.0610528563690891
5.52,-0.0926343220736816
5.56,-0.123273573632535
5.6,-0.145578834678015
5.64,-0.161738404255973
5.68,-0.173925640411823
5.72,-0.183267472911746
5.76,-0.190343865781356
5.8,-0.195500053111681
5.84,-0.199006721986194
5.88,-0.201151228008351
5.92,-0.20225627701685
5.96,-0.202665162287819
6,-0.202724116637831
