"Trazado3"
"Tiempo (sec)","Velocidad angular1 (deg/sec)"
0,0
0.04,0.000332026326618126
0.08,0.00147225059175658
0.12,0.00345827271380622
0.16,0.0062800390340662
0.2,0.0099369523489697
0.24,0.0144280742243769
0.28,0.0197522607242052
0.32,0.0259078931969393
0.36,0.0328928088781263
0.4,0.0407047584122109
0.44,0.0493401749733753
0.48,0.0587958622064392
0.52,0.0690674189139751
0.56,0.080149968295586
0.6,0.0920376614369194
0.64,0.104724570038576
0.68,0.118202852962595
0.72,0.13246350638173
0.76,0.147499632151515
0.8,0.16330135864253
0.84,0.179854227380072
0.88,0.197149989293259
0.92,0.215173879791
0.96,0.23391277470491
1,0.253350931814314
1.04,0.273472599636765
1.08,0.294260401581223
1.12,0.315691670974873
1.16,0.337751995287391
1.2,0.360417442075071
1.24,0.383666033347836
1.28,0.407474581675431
1.32,0.431816641715535
1.36,0.456669683879949
1.4,0.481996585781449
1.44,0.507777304920711
1.48,0.533978394967934
1.52,0.560569318577127
1.56,0.587514286894521
1.6,0.614796389278688
1.64,0.642339555002044
1.68,0.670144437266433
1.72,0.698162448235324
1.76,0.726350278272332
1.8,0.754675378237609
1.84,0.783088728132159
1.88,0.811552119481526
1.92,0.84002600337291
1.96,0.868458171922417
2,0.896811742822396
2.04,0.925041765161074
2.08,0.953091715534044
2.12,0.980922389457422
2.16,1.00850483644261
2.2,1.03574563077143
2.24,1.06263884215539
2.28,1.08912643809814
2.32,1.11515726815282
2.36,1.14069652648881
2.4,1.16566874881876
2.44,1.19007167963392
2.48,1.21382362644584
2.52,1.23689365958959
2.56,1.25924244519613
2.6,1.28082418590224
2.64,1.30159260630729
2.68,1.32153318230395
2.72,1.34060937406116
2.76,1.35871993003766
2.8,1.37592423827821
2.84,1.39213132284034
2.88,1.40733464873512
2.92,1.42153620799499
2.96,1.43466931441347
3,1.44673697095985
3.04,1.45771209454972
3.08,1.46760050254134
3.12,1.47638923795481
3.16,1.48408285497408
3.2,1.49066013112416
3.24,1.49612223409462
3.28,1.50050607284183
3.32,1.50379247486655
3.36,1.50603174437885
3.4,1.50718985442516
3.44,1.50734827281894
3.48,1.50648566007238
3.52,1.50466958220724
3.56,1.50190652588416
3.6,1.49827007562221
3.64,1.49375776592834
3.68,1.48843677127827
3.72,1.4823865700324
3.76,1.47559185721604
3.8,1.46817915978508
3.84,1.46017238067137
3.88,1.45162824944275
3.92,1.44260384844586
3.96,1.43317926058348
4,1.42343329735731
4.04,1.41339135815624
4.08,1.403169079626
4.12,1.39281748777399
4.16,1.38239837215238
4.2,1.37195825512647
4.24,1.36165457616677
4.28,1.35144769272643
4.32,1.34153589186411
4.36,1.33182636557126
4.4,1.32251536941867
4.44,1.31360768332394
4.48,1.30521305562677
4.52,1.29737953497162
4.56,1.29015022669983
4.6,1.28360573275613
4.64,1.27779193344475
4.68,1.27276593112036
4.72,1.26859983280936
4.76,1.26531386373844
4.8,1.26299309400907
4.84,1.26165230588293
4.88,1.26135396940203
4.92,1.26214136201741
4.96,1.26403866262736
5,1.26708474278642
5.04,1.27132948449257
5.08,1.27677557486491
5.12,1.28348303148293
5.16,1.29144961879163
5.2,1.30071493812191
5.24,1.31130168654267
5.28,1.32321504504886
5.32,1.33645850461789
5.36,1.35112010542394
5.4,1.36712594539404
5.44,1.38454524191537
5.48,1.40324194545699
5.52,1.42342617798131
5.56,1.44498718213438
5.6,1.46795685231424
5.64,1.49233735153143
5.68,1.51812810417738
5.72,1.54526809916317
5.76,1.57381302549882
5.8,1.60375790249859
5.84,1.63506672726434
5.88,1.66776127353736
5.92,1.70177142397941
5.96,1.73711604399883
6,1.77381548809553
6.04,1.81179250239559
6.08,1.85109686932687
6.12,1.89168091398529
6.16,1.93349427989635
6.2,1.97655198377902
6.24,2.02080025508642
6.28,2.06628682663216
6.32,2.11288676055286
6.36,2.16068087707882
6.4,2.20954018945075
6.44,2.25954443581629
6.48,2.31055973469251
6.52,2.36266731335291
6.56,2.41568901299113
6.6,2.46970561315576
6.64000000000001,2.52464635458812
6.68000000000001,2.58047739870744
6.72000000000001,2.63720215744564
6.76000000000001,2.69466413178695
6.80000000000001,2.75294289947126
6.84000000000001,2.81191638160653
6.88000000000001,2.87153887941026
6.92000000000001,2.9319338740642
6.96000000000001,2.99271423628539
7.00000000000001,3.05416973577019
7.04000000000001,3.11598782484967
7.08000000000001,3.17828586893185
7.12000000000001,3.24091625839818
7.16000000000001,3.30381581968294
7.20000000000001,3.3669146448957
7.24000000000001,3.43014169739756
7.28000000000001,3.49342054897167
7.32000000000001,3.55667017889425
7.36000000000001,3.61980348080664
7.40000000000001,3.68282545725447
7.44000000000001,3.74534578394618
7.48000000000001,3.80754984345521
7.52000000000001,3.8692265530771
7.56000000000001,3.93015297402151
7.60000000000001,3.99039722806532
7.64000000000001,4.04961447620001
7.68000000000001,4.10775056592341
7.72000000000001,4.16453346437212
7.76000000000001,4.21988263316594
7.80000000000001,4.27359793062995
7.84000000000001,4.3253544907516
7.88000000000001,4.37533583419578
7.92000000000001,4.42231935702384
7.96000000000001,4.46686203264404
8.00000000000001,4.50831869773919
8.04,4.54654255528098
8.08,4.58080622682951
8.12,4.61087202136949
8.16,4.63612155268909
8.2,4.65597779610083
8.24,4.67000071278352
8.28,4.67701112747019
8.32,4.67658010841565
8.36,4.6675004435469
8.4,4.64862018167617
8.44,4.61859460882885
8.48,4.57594284582135
8.51999999999999,4.51858120112733
8.55999999999999,4.44446714885918
8.59999999999999,4.3507959658112
8.63999999999999,4.2341846098582
8.67999999999999,4.09086786593698
8.71999999999999,3.91547214420002
8.75999999999999,3.70203674491022
8.79999999999999,3.44223765212399
8.83999999999999,3.12600078972782
8.87999999999999,2.73987644528428
8.91999999999999,2.26586157516769
8.95999999999998,1.68070317883454
8.99999999999998,0.952249356924202
9.03999999999998,0.037819664330301
9.07999999999998,1.11905106764909
9.11999999999998,2.58799657695757
9.15999999999998,4.44140494139869
9.19999999999998,6.7150633645451
9.23999999999998,9.21365470651376
9.27999999999998,11.5044206186617
9.31999999999998,13.4540675148945
9.35999999999998,15.032526358665
9.39999999999998,16.2657738795009
9.43999999999997,17.1972927626198
9.47999999999997,17.852866249153
9.51999999999997,18.2039227938643
9.55999999999997,18.1795614409447
9.59999999999997,17.8094275808328
9.63999999999997,17.2115224054566
9.67999999999997,16.5122108427373
9.71999999999997,15.8024312287864
9.75999999999997,15.1315288847052
9.79999999999997,14.520699324256
9.83999999999997,13.9745662307147
9.87999999999997,13.4937353263953
9.91999999999996,13.0716216353297
9.95999999999996,12.7046752155594
9.99999999999996,12.38710336162
10.04,12.1148738286664
10.08,11.8856643935454
10.12,11.6961012465479
10.16,11.5449365290603
10.2,11.4307191154347
10.24,11.3534727258873
10.28,11.3129045172542
10.32,11.3100819256083
10.36,11.346093597307
10.4,11.4224353468029
10.44,11.5405220684523
10.48,11.7027595539643
10.52,11.8998328469107
10.56,12.0563331039887
10.5999999999999,12.156889087444
10.6399999999999,12.2004179797775
10.6799999999999,12.1840833008233
10.7199999999999,12.1051705401126
10.7599999999999,11.9571992378502
10.7999999999999,11.7351620835204
10.8399999999999,11.491354619261
10.8799999999999,11.2657915149612
10.9199999999999,11.0608057754114
10.9599999999999,10.8805537881054
10.9999999999999,10.7283678173456
11.0399999999999,10.6071727540995
11.0799999999999,10.520589738667
11.1199999999999,10.4716931626496
11.1599999999999,10.4625593921218
11.1999999999999,10.49680482161
11.2399999999999,10.5756598174967
11.2799999999999,10.7000761172192
11.3199999999999,10.8721184359831
11.3599999999999,11.089764591336
11.3999999999999,11.3521673827192
11.4399999999999,11.6564364710408
11.4799999999999,11.9979185911197
11.5199999999999,12.3710781949923
11.5599999999999,12.7697115590669
11.5999999999999,13.1858874192589
11.6399999999999,13.6116603396334
11.6799999999999,14.0395569053212
11.7199999999999,14.4621043061648
11.7599999999999,14.8726573301641
11.7999999999999,15.2645867548407
11.8399999999999,15.6346639363594
11.8799999999999,15.9799741678039
11.9199999999999,16.2939801669705
11.9599999999999,16.5782584513064
11.9999999999999,16.8432304770732
12.0399999999999,17.0963120602267
12.0799999999999,17.3505751848487
12.1199999999999,17.6077914702808
12.1599999999999,17.8752870901571
12.1999999999999,18.1585952641968
12.2399999999999,18.4409691300581
12.2799999999999,18.7108631829475
12.3199999999999,18.9607708917567
12.3599999999999,19.1853079906327
12.3999999999999,19.3764283952927
12.4399999999999,19.5336255138723
12.4799999999999,19.6559567277034
12.5199999999999,19.7418451855437
12.5599999999999,19.797198656389
12.5999999999999,19.8249538530657
12.6399999999999,19.8315554493214
12.6799999999999,19.8192886440996
12.7199999999999,19.7958685868225
12.7599999999999,19.767038138176
12.7999999999999,19.7307344995116
12.8399999999999,19.6927690621785
12.8799999999999,19.6582903046591
12.9199999999999,19.6233143013881
12.9599999999999,19.5933367405661
12.9999999999999,19.5691723001795
13.0399999999999,19.5498889856439
13.0799999999999,19.5357240477445
13.1199999999999,19.5267189935675
13.1599999999999,19.5241964105656
13.1999999999999,19.5250848588423
13.2399999999999,19.5333823352023
13.2799999999999,19.5444423407094
13.3199999999999,19.5607440886477
13.3599999999999,19.5804347436782
13.3999999999999,19.6026873471609
13.4399999999999,19.6265006163318
13.4799999999999,19.6486445799064
13.5199999999999,19.6690969227342
13.5599999999999,19.693647740468
13.5999999999999,19.7178018710849
13.6399999999999,19.739908302306
13.6799999999999,19.7641712909588
13.7199999999999,19.78583993228
13.7599999999999,19.8077036962913
13.7999999999999,19.8328308493039
13.8399999999999,19.8595359460865
13.8799999999999,19.891112043305
13.9199999999999,19.9262492534189
13.9599999999999,19.9664780777804
13.9999999999999,20.0084052527846
14.0399999999999,20.0541323404211
14.0799999999999,20.1001186777771
14.1199999999999,20.1456793010655
14.1599999999999,20.179382708688
14.1999999999999,20.1910598149872
14.2399999999999,20.1625627785421
14.2799999999999,20.0632262820596
14.3199999999999,19.8379256990605
14.3599999999999,19.4154395674037
14.3999999999999,18.7050224144698
14.4399999999999,17.6246089036544
14.4799999999999,16.1461085511517
14.5199999999999,14.3440451064517
14.5599999999999,12.3817794891876
14.5999999999999,10.4253882231546
14.6399999999999,8.22119161850934
14.6799999999999,5.41432245201179
14.7199999999999,1.83271059737489
14.7599999999999,2.48912849042134
14.7999999999999,7.00820502878371
14.8399999999999,10.8377994665468
14.8799999999999,13.3976573827342
14.9199999999999,14.8146088868391
14.9599999999999,15.6124668612189
14.9999999999999,16.0739755538668
15.0399999999999,16.3386948089331
15.0799999999999,16.4882566920141
15.1199999999999,16.56551690101
15.1599999999999,16.5915488887892
15.1999999999999,16.5847957766517
15.2399999999999,16.5539073350377
15.2799999999999,16.5084351041502
15.3199999999998,16.4472630484108
15.3599999999998,16.3793250680402
15.3999999999998,16.3055067021249
15.4399999999998,16.2260641542803
15.4799999999998,16.1422487227733
15.5199999999998,16.0578630028163
15.5599999999998,15.9693302440644
15.5999999999998,15.8800610239407
15.6399999999998,15.7904800842195
15.6799999999998,15.6980598856492
15.7199999999998,15.6073474754449
15.7599999999998,15.5185443806298
15.7999999999998,15.4275262000828
15.8399999999998,15.3372752240518
15.8799999999998,15.2464624743567
15.9199999999998,15.1551650581641
15.9599999999998,15.0662961151422
15.9999999999998,14.9756192518939
16.0399999999998,14.8874486543496
16.0799999999998,14.7989536433358
16.1199999999998,14.7101491302272
16.1599999999998,14.6238997263178
16.1999999999998,14.5373532111924
16.2399999999998,14.4519367093417
16.2799999999998,14.3662152500757
16.3199999999998,14.2816102862755
16.3599999999998,14.1966787551166
16.3999999999998,14.1142720990501
16.4399999999998,14.0315090810074
16.4799999999998,13.9498063307892
16.5199999999998,13.8648308511148
