"Trazado1"
"Tiempo (sec)","Desplazamiento angular1 (deg)"
0,0.000183728959200914
0.04,0.000540524878477947
0.08,0.0030367042817835
0.12,0.00980243506977351
0.16,0.0229426306088739
0.2,0.0445129661793749
0.24,0.0764883122433887
0.28,0.120724302998996
0.32,0.178912757049264
0.36,0.252532430960564
0.4,0.342796925744413
0.44,0.450600654493669
0.48,0.576468877106151
0.52,0.720510918649329
0.56,0.882384085075941
0.6,1.06127139374177
0.64,1.25587804039195
0.68,1.46445111809383
0.72,1.6848274096863
0.76,1.91451166733258
0.8,2.15078200514153
0.84,2.39082392788214
0.88,2.63188474036931
0.92,2.87143414437605
0.96,3.10732027419003
1,3.33791117643012
1.04,3.56220000002282
1.08,3.77987516820035
1.12,3.99134110730444
1.16,4.19770124139751
1.2,4.40069989990058
1.24,4.60263914724626
1.28,4.80628075958467
1.32,5.01473725917191
1.36,5.23136991538759
1.4,5.45968903940173
1.44,5.70326858215386
1.48,5.96566908216528
1.52,6.25036961788902
1.56,6.56071296569215
1.6,6.89985149089888
1.64,7.27069107316737
1.68,7.6758460637654
1.72,8.11757207305967
1.76,8.5977001416743
1.8,9.11754265842668
1.84,9.67776615123198
1.88,10.2782436007857
1.92,10.9178087807017
1.96,11.5939164296499
2,12.3021281665183
2.04,13.0352535902745
2.08,13.7819375009529
2.12,14.5240356037659
2.16,15.231350027484
2.2,15.8497436122981
2.24,16.2697091477129
2.28,16.2283822429416
2.32,15.1006626580762
2.36,12.7310661425494
2.4,9.87463398872072
2.44,7.24798467768981
2.48,5.00856640378158
2.52,3.02258315925263
2.56,1.171479882885
2.6,-0.642772517431113
2.64,-2.5188080685885
2.68,-4.46481659374283
2.72,-6.33935855813772
2.76,-8.0827577689316
2.8,-9.76254868335726
2.84,-11.4802634693572
2.88,-13.3503461528105
2.92,-15.4621802491413
2.96,-17.8404748629845
3,-20.4446551562129
3.04,-23.2213081002364
3.08,-26.17003116598
3.12,-29.2653176533351
3.16,-32.4285807873498
3.2,-35.5940915603875
3.24,-38.7385477769843
3.28,-41.8662553570814
3.32,-44.9901253720236
3.36,-48.1223598468585
3.4,-51.2690053808395
3.44,-54.4304936457923
3.48,-57.6076742850882
3.52,-60.8084936267223
3.56,-64.0333367115167
3.6,-67.1811793218205
3.64,-69.7230256393248
3.68,-70.9837890078406
3.72,-69.9809668877696
3.76,-67.5426641381727
3.8,-64.9023405562196
3.84,-62.2647722616692
3.88,-59.6706368422814
3.92,-57.1314426390131
3.96,-54.6502459499622
4,-52.2272700840605
4.04,-49.8614905272641
4.08,-47.5514438267111
4.12,-45.2955282523122
4.16,-43.0921717738609
4.2,-40.9398699007775
4.24,-38.837245473049
4.28,-36.7830763560596
4.32,-34.7763289272573
4.36,-32.8161881284929
4.4,-30.901980041565
4.44,-29.0332578805221
4.48,-27.2098318589774
4.52,-25.4317065862904
4.56,-23.6991599130767
4.6,-22.0127645584104
4.64,-20.3733455155201
4.68,-18.7820882061268
4.72,-17.2405182760893
4.76,-15.7505846606396
4.8,-14.3145840461041
4.84,-12.9353105976816
4.88,-11.6160209667038
4.92,-10.3604324422281
4.96,-9.17267158188898
5,-8.05725332503204
5.04,-7.01891969596386
5.08,-6.06239261742566
5.12,-5.19206661191766
5.16,-4.41138898774324
5.2,-3.72041800732082
5.24,-3.11610913906506
5.28,-2.59306251760315
5.32,-2.1443136373056
5.36,-1.76205863248568
5.4,-1.43840152884347
5.44,-1.16585326250807
5.48,-0.937660918316542
5.52,-0.747857230174049
5.56,-0.59130380304754
5.6,-0.463549345767931
5.64,-0.360772063090452
5.68,-0.279609565641105
5.72,-0.217060300315723
5.76,-0.17042146399153
5.8,-0.137185451022913
5.84,-0.114975029946216
5.88,-0.101535833345867
5.92,-0.0946508714959356
5.96,-0.0921100394616933
6,-0.0917439893640672
