"Trazado3"
"Tiempo (sec)","Velocidad angular1 (deg/sec)"
0,0
0.04,0.0212462770589087
0.08,0.0941385589626844
0.12,0.220744527549871
0.16,0.399618605026406
0.2,0.629263682955978
0.24,0.907322145453668
0.28,1.23041921560032
0.32,1.59401789372434
0.36,1.99229847182173
0.4,2.41815075714868
0.44,2.86307082004784
0.48,3.31740401340754
0.52,3.77035052648966
0.56,4.21034844010433
0.6,4.62540519789762
0.64,5.00371535390386
0.68,5.33409283033261
0.72,5.60688450809117
0.76,5.81474151304916
0.8,5.95317202990695
0.84,6.02110144820916
0.88,6.02170725270696
0.92,5.96198300453675
0.96,5.85288505732516
1,5.70846536518034
1.04,5.5452105624851
1.08,5.38090690237669
1.12,5.23331710759976
1.16,5.11964766058248
1.2,5.05517105594701
1.24,5.05296032806212
1.28,5.12351045932805
1.32,5.27460853471758
1.36,5.51152483303155
1.4,5.83705365033387
1.44,6.25210161780918
1.48,6.75565450207288
1.52,7.34515752338014
1.56,8.01659846870872
1.6,8.76487138772293
1.64,9.58301239528471
1.68,10.4636150098624
1.72,11.3967587532229
1.76,12.3713153404523
1.8,13.3731695675086
1.84,14.3850016096961
1.88,15.3849567654948
1.92,16.3444311172147
1.96,17.2248100787851
2,17.9725216986221
2.04,18.5086435188648
2.08,18.7101711459032
2.12,18.3724788314377
2.16,17.1200567633894
2.2,14.1742535616678
2.24,7.23968874190891
2.28,10.6901351388038
2.32,46.7957430333395
2.36,68.934252061721
2.4,71.0961288425984
2.44,60.309945500443
2.48,52.172779505106
2.52,47.4790914024724
2.56,45.3696660489212
2.6,45.653768357066
2.64,48.3106517058344
2.68,48.5035321960188
2.72,45.0208359394126
2.76,42.3801263436957
2.8,41.9380988266722
2.84,44.3221892003106
2.88,49.4728131927974
2.92,56.180620638349
2.96,62.5779984532495
3,67.3968636458728
3.04,71.4861135036422
3.08,75.845433914702
3.12,78.6327936170901
3.16,79.3223384809138
3.2,78.8955252165369
3.24,78.3484340398917
3.28,78.0799205152628
3.32,78.1507828654582
3.36,78.47973634579
3.4,78.8544807714821
3.44,79.214211668582
3.48,79.6785659821546
3.52,80.3809329368991
3.56,80.6619206264833
3.6,75.0289972918847
3.64,49.583975019326
3.68,8.9729727555893
3.72,53.46849687169
3.76,65.2929468216546
3.8,66.2926064225781
3.84,65.4864667933628
3.88,64.1955233698176
3.92,62.7595217477811
3.96,61.2985179842859
4,59.8519097276724
4.04,58.4402817560772
4.08,57.0674234029407
4.12,55.7347477386736
4.16,54.4395499055911
4.2,53.1812552239945
4.24,51.9533669211017
4.28,50.7575869831996
4.32,49.5865080616163
4.36,48.4255005960147
4.4,47.2843461342005
4.44,46.1516247876935
4.48,45.0207197234946
4.52,43.886190043981
4.56,42.7421576774809
4.6,41.5748122388895
4.64,40.3894545509072
4.68,39.170221931618
4.72,37.9051713966725
4.76,36.5840360487164
4.8,35.2058322252413
4.84,33.7493754116578
4.88,32.2066228441894
4.92,30.5625267273876
4.96,28.8108357596144
5,26.9442670843254
5.04,24.957155917605
5.08,22.8536177708222
5.12,20.6519637197185
5.16,18.3862746729261
5.2,16.1715965830269
5.24,14.0627100534991
5.28,12.1114319182883
5.32,10.349891766027
5.36,8.78809052348192
5.4,7.41972630623976
5.44,6.23139982186927
5.48,5.19778028489873
5.52,4.30537729939566
5.56,3.53296789321928
5.6,2.8658991693211
5.64,2.28433674760583
5.68,1.78330705415709
5.72,1.352161743107
5.76,0.986524626733982
5.8,0.682653393177895
5.84,0.436029468639132
5.88,0.244990765110368
5.92,0.105977194743699
5.96,0.0260669039263872
6,3.06323061202342e-09
