"Trazado4"
"Tiempo (sec)","Velocidad angular2 (deg/sec)"
0,0
0.0399470326941813,0.0119351838798591
0.0798940653883627,0.0640064107924347
0.119841098082544,0.222624560206895
0.159788130776725,0.431858921466545
0.199735163470907,0.614652855869496
0.239682196165088,0.962081714779342
0.279629228859269,1.37347212552087
0.319576261553451,1.76088070587278
0.359523294247632,2.12577510348288
0.399470326941813,2.68343573920575
0.439417359635995,3.29935927546349
0.479364392330176,3.87722679639445
0.519311425024357,4.4116498772116
0.559258457718539,5.02399368337353
0.59920549041272,5.7301417449662
0.639152523106901,6.42600940866451
0.679099555801082,7.1083706152894
0.719046588495264,7.81936775924673
0.758993621189445,8.53965896400174
0.798940653883626,9.2571552682411
0.838887686577808,9.97684800892261
0.878834719271989,10.6936138518147
0.91878175196617,11.4038013267855
0.958728784660352,12.105996709388
0.998675817354533,12.797650246139
1.03862285004871,13.4776404289369
1.0785698827429,14.1447173614249
1.11851691543708,14.7981937781399
1.15846394813126,15.436884044055
1.19841098082544,16.0602608613788
1.23835801351962,16.6689858714507
1.2783050462138,17.2732168596925
1.31825207890798,17.8762974529527
1.35819911160216,19.4570061873494
1.39814614429635,20.0746278102306
1.43809317699053,19.3754352803235
1.47804020968471,17.1962154006945
1.51798724237889,17.1818346703517
1.55793427507307,17.2570661113519
1.59788130776725,17.315197403772
1.63782834046143,17.3540056800694
1.67777537315562,17.3742665102746
1.7177224058498,17.3763782051986
1.75766943854398,17.3608497454054
1.79761647123816,17.3317179851161
1.83756350393234,17.2833039800101
1.87751053662652,17.2092801391142
1.9174575693207,17.1242303046403
1.95740460201488,17.0215658572698
1.99735163470907,16.9018192972862
2.03729866740325,16.7643866246772
2.07724570009743,16.6108883306213
2.11719273279161,16.4386665206303
2.15713976548579,16.250438616055
2.19708679817997,16.0435996340267
2.23703383087415,15.8198665607968
2.27698086356834,15.5782971281595
2.31692789626252,15.3181139746275
2.3568749289567,15.0409477047483
2.39682196165088,14.7443170830908
2.43676899434506,14.4304774635767
2.47671602703924,14.0967406513753
2.51666305973342,13.7450888559779
2.5566100924276,13.3734024447059
2.59655712512179,12.9830802976541
2.63650415781597,12.5730986615038
2.67645119051015,12.1332015096243
2.71639822320433,8.62805383555213
2.75634525589851,29.7295019666977
2.79629228859269,30.5964735185687
2.83623932128687,30.6708016742967
2.87618635398106,30.7175117789916
2.91613338667524,30.7347857995465
2.95608041936942,30.7240287308105
2.9960274520636,30.687418704757
3.03597448475778,30.627157384796
3.07592151745196,30.5391277890408
3.11586855014614,26.996677677319
3.15581558284032,8.95392508476534
3.19576261553451,14.6815658762891
3.23570964822869,19.232884632524
3.27565668092287,7.87004590852272
3.31560371361705,2.44943232836763
3.35555074631123,9.10451515202313
3.39549777900541,13.6126839225625
3.43544481169959,16.2005326515942
3.47539184439378,17.3307301420383
3.51533887708796,17.4737918494008
3.55528590978214,17.3709680652859
3.59523294247632,17.1339978089463
3.6351799751705,16.7655897093688
3.67512700786468,16.2666375150321
3.71507404055886,15.6275333763405
3.75502107325304,14.8452800486482
3.79496810594723,13.9113269783235
3.83491513864141,12.8320192869357
3.87486217133559,11.6153555371656
3.91480920402977,10.2852838550821
3.95475623672395,11.1384974531719
3.99470326941813,14.1981620770806
4.03465030211231,16.8091062073625
4.0745973348065,19.0886783399416
