"Trazado3"
"Tiempo (sec)","Velocidad angular1 (deg/sec)"
0,0
0.04,0.000207944277800048
0.08,0.000922060828145144
0.12,0.00216591932382329
0.16,0.00393329405268498
0.2,0.00622394288875548
0.24,0.0090375071781884
0.28,0.0123735985968635
0.32,0.016231682688051
0.36,0.0206110284388178
0.4,0.0255110389171479
0.44,0.0309304902255637
0.48,0.0368686184735837
0.52,0.0433241488241225
0.56,0.0502957784548673
0.6,0.0577818779395336
0.64,0.0657810850448043
0.68,0.0742911607470046
0.72,0.0833094868415645
0.76,0.0928351360632128
0.8,0.102865695752282
0.84,0.113396274934103
0.88,0.124426306763281
0.92,0.135951553945603
0.96,0.14796926551245
1,0.160475502330526
1.04,0.173466788659703
1.08,0.186939112662279
1.12,0.20088558939057
1.16,0.215305085378478
1.2,0.230190922274039
1.24,0.245538170662762
1.28,0.26134165414475
1.32,0.277594602402674
1.36,0.294293289715875
1.4,0.311425124396981
1.44,0.328989107997041
1.48,0.346976021436622
1.52,0.365378979064607
1.56,0.38418814824018
1.6,0.403406493132326
1.64,0.422998589554046
1.68,0.442979832003646
1.72,0.463333757756973
1.76,0.484047488651818
1.8,0.505115588746786
1.84,0.526521804649104
1.88,0.548257287513738
1.92,0.570312755644018
1.96,0.592670719321579
2,0.615323596297141
2.04,0.638258171334157
2.08,0.661453035537686
2.12,0.684899190902406
2.16,0.7085947795341
2.2,0.732491413880052
2.24,0.756601503437795
2.28,0.780901131969977
2.32,0.805370960435725
2.36,0.83000115734394
2.4,0.854751111981622
2.44,0.879634921844642
2.48,0.904605793993241
2.52,0.929651565495744
2.56,0.954754252738878
2.6,0.979890264295971
2.64,1.00503040496154
2.68,1.0301693498042
2.72,1.05528613511564
2.76,1.08030089817939
2.8,1.10525968557704
2.84,1.13009102217094
2.88,1.15478086714778
2.92,1.17932359521126
2.96,1.20365567585542
3,1.22776057290651
3.04,1.25160220791995
3.08,1.2751621408947
3.12,1.29840229554116
3.16,1.32130224372075
3.2,1.34380404047384
3.24,1.36587728212211
3.28,1.38750794650032
3.32,1.40863604484997
3.36,1.42925452235263
3.4,1.44927621970911
3.44,1.46871891076239
3.48,1.48749404887289
3.52,1.50559928637364
3.56,1.5229632792874
3.6,1.53958192764632
3.64,1.55536596497433
3.68,1.57029271243315
3.72,1.58435536594375
3.76,1.59743232937772
3.8,1.60956300181953
3.84,1.6206578554056
3.88,1.63067636100498
3.92,1.63956107732652
3.96,1.64728525916576
4,1.6538231279139
4.04,1.65907297417461
4.08,1.66305170720889
4.12,1.66568962504639
4.16,1.66693175891918
4.2,1.66671039366513
4.24,1.66508324428653
4.28,1.66187603581417
4.32,1.65720965459712
4.36,1.65084133189894
4.4,1.64289094059905
4.44,1.6332501357159
4.48,1.62193754843831
4.52,1.60889749733238
4.56,1.59408191879932
4.6,1.57748825049467
4.64,1.55907235326871
4.68,1.53881651760173
4.72,1.51672329030583
4.76,1.49274139462361
4.8,1.46689840376692
4.84,1.43915057095003
4.88,1.40951305495726
4.92,1.37798631207697
4.96,1.34455746797383
5,1.30923489489635
5.04,1.27204757102795
5.08,1.23297901775147
5.12,1.1920815910731
5.16,1.14934872135079
5.2,1.10482409085726
5.24,1.05853706228899
5.28,1.01051282718299
5.32,0.960780030951345
5.36,0.909433375702781
5.4,0.856456559805001
5.44,0.801936076212015
5.48,0.745843780886126
5.52,0.688348249192779
5.56,0.629444668039888
5.6,0.569204935905104
5.64,0.507691638387639
5.68,0.44496500691908
5.72,0.381073478373199
5.76,0.316101897331514
5.8,0.250112226925716
5.84,0.183166475546343
5.88,0.115334855402505
5.92,0.0466785538476284
5.96,0.0227309220957919
6,0.0928319104272065
6.04,0.163556648777901
6.08,0.23484656836626
6.12,0.306640898386495
6.16,0.378872749284894
6.2,0.451489202405242
6.24,0.524429258779364
6.28,0.597655911297447
6.32,0.671089638376261
6.36,0.744716114324333
6.4,0.818455153903422
6.44,0.892299513893572
6.48,0.966171158345744
6.52,1.04007843810991
6.56,1.113921907527
6.6,1.18771905964527
6.64000000000001,1.26142564151007
6.68000000000001,1.33501557464956
6.72000000000001,1.40848694994072
6.76000000000001,1.48175523096258
6.80000000000001,1.55486866293909
6.84000000000001,1.62776683909968
6.88000000000001,1.700434589793
6.92000000000001,1.77296283752194
6.96000000000001,1.84514018215263
7.00000000000001,1.91716892821955
7.04000000000001,1.98888479720993
7.08000000000001,2.06039593377792
7.12000000000001,2.13164650234498
7.16000000000001,2.20263941665396
7.20000000000001,2.27337556194981
7.24000000000001,2.34386148870751
7.28000000000001,2.41410354790649
7.32000000000001,2.48411004541137
7.36000000000001,2.55388976095653
7.40000000000001,2.62352322800589
7.44000000000001,2.6928147901814
7.48000000000001,2.76198566052032
7.52000000000001,2.830980900296
7.56000000000001,2.89974187829188
7.60000000000001,2.96843171964032
7.64000000000001,3.03691793132426
7.68000000000001,3.10529247465383
7.72000000000001,3.17349460895597
7.76000000000001,3.24162047880125
7.80000000000001,3.30968990553044
7.84000000000001,3.37763989973142
7.88000000000001,3.44582371217966
7.92000000000001,3.51350789076146
7.96000000000001,3.58138149901286
8.00000000000001,3.64921148262133
8.04,3.71719332241586
8.08,3.78508423841914
8.12,3.85308065460021
8.16,3.9211137228603
8.2,3.98920220387776
8.24,4.0575524155346
8.28,4.12581191546974
8.32,4.19437552688425
8.36,4.26307556513329
8.4,4.3319309358231
8.44,4.40096014241026
8.48,4.47028158104025
8.51999999999999,4.53971496815746
8.55999999999999,4.60947877988785
8.59999999999999,4.67949092729587
8.63999999999999,4.74966561957411
8.67999999999999,4.82032930447793
8.71999999999999,4.89108201846036
8.75999999999999,4.96236064462693
8.79999999999999,5.03375518703071
8.83999999999999,5.10560054220217
8.87999999999999,5.17791431043349
8.91999999999999,5.25015737924098
8.95999999999998,5.32322578063433
8.99999999999998,5.39646583707429
9.03999999999998,5.47010906153853
9.07999999999998,5.54439640429978
9.11999999999998,5.61864442597276
9.15999999999998,5.69355234252326
9.19999999999998,5.76889545475027
9.23999999999998,5.8444398116246
9.27999999999998,5.92066571401724
9.31999999999998,5.99685092427245
9.35999999999998,6.07396532535888
9.39999999999998,6.15127900748232
9.43999999999997,6.22878005922306
9.47999999999997,6.30696293252374
9.51999999999997,6.38531846265198
9.55999999999997,6.46408815933536
9.59999999999997,6.54326178054206
9.63999999999997,6.62282553207188
9.67999999999997,6.70250045722975
9.71999999999997,6.78252685066973
9.75999999999997,6.86288400416031
9.79999999999997,6.94354899165262
9.83999999999997,7.02394974930842
9.87999999999997,7.10514179482755
9.91999999999996,7.18599665064053
9.95999999999996,7.26730338049449
9.99999999999996,7.34846451012087
10.04,7.42943018709554
10.08,7.51071797685221
10.12,7.59170498542072
10.16,7.67262175984851
10.2,7.75311193671625
10.24,7.83340012174636
10.28,7.91311972002634
10.32,7.9924891836236
10.36,8.07142931450879
10.4,8.14985695278124
10.44,8.22737444494206
10.48,8.30418988426502
10.52,8.37989207688498
10.56,8.45468214464958
