"Trazado2"
"Tiempo (sec)","Desplazamiento angular2 (deg)"
0,-8.63700885632241e-05
0.04,0.000305522968630725
0.08,0.00304983750099618
0.12,0.0105109560325957
0.16,0.0250972540592619
0.2,0.0493161455670704
0.24,0.0858503310958551
0.28,0.137652091117073
0.32,0.208050127516096
0.36,0.300861058543417
0.4,0.420495453232921
0.44,0.572040447370948
0.48,0.761303222199076
0.52,0.994784371729175
0.56,1.27955810687526
0.6,1.6230262999889
0.64,2.0325223523312
0.68,2.51474977214505
0.72,3.07506138817249
0.76,3.71660578590893
0.8,4.42655226193521
0.84,5.18454365092161
0.88,5.98943602004557
0.92,6.84027157842496
0.96,7.73607603354464
1,8.67592396780787
1.04,9.65893158179235
1.08,10.6842839035528
1.12,11.7512295845963
1.16,12.8590982895213
1.2,14.0072930083777
1.24,15.1952894933772
1.28,16.4226458447214
1.32,17.6889837603885
1.36,18.9940010482228
1.4,20.3374541336219
1.44,21.7191645903136
1.48,23.1390088264056
1.52,24.596902513761
1.56,26.0928119011299
1.6,27.6267387687894
1.64,29.1986906971512
1.68,30.8087079432019
1.72,32.4568190885393
1.76,34.1430507486125
1.8,35.8673976808269
1.84,37.6297820590442
1.88,39.4300853364014
1.92,41.2680797074131
1.96,43.1434069668322
2,45.0555704000112
2.04,47.0038475205736
2.08,48.9873001801847
2.12,51.0047205367788
2.16,53.0545628585833
2.2,55.1345656724383
2.24,57.3220441605362
2.28,59.4313514880619
2.32,60.8215315973336
2.36,60.9520021857517
2.4,59.7165709058762
2.44,58.0235462027549
2.48,56.2310134126143
2.52,54.3417109188946
2.56,52.3598883520461
2.6,50.2906744570291
2.64,48.1399925781199
2.68,45.9144486556371
2.72,43.6211923101232
2.76,41.2677680543513
2.8,38.8619107085442
2.84,36.411383810273
2.88,33.9238021063249
2.92,31.4064497325423
2.96,28.8661855920769
3,26.3092544429435
3.04,23.7412545016423
3.08,21.1670294664989
3.12,18.5906421204557
3.16,16.0153867945269
3.2,13.4437084723763
3.24,10.8773067121494
3.28,8.31705981769148
3.32,5.76308780247627
3.36,3.21473929909257
3.4,0.670612483988238
3.44,-1.87150291218773
3.48,-4.41469025847691
3.52,-6.96295189368911
3.56,-9.52142373320637
3.6,-12.1028080471749
3.64,-14.7057521988308
3.68,-16.7998905639631
3.72,-17.8530553505982
3.76,-17.5309901876061
3.8,-16.1064782643584
3.84,-14.6629194549168
3.88,-13.3011612053025
3.92,-12.0189031411041
3.96,-10.8145874901841
4,-9.6867157196681
4.04,-8.63371989434625
4.08,-7.65398554387988
4.12,-6.7458250589016
4.16,-5.90747062088762
4.2,-5.13705077065814
4.24,-4.43259550587219
4.28,-3.79203836900608
4.32,-3.2132249716746
4.36,-2.69392124717611
4.4,-2.23179615451874
4.44,-1.82445124546763
4.48,-1.46942949291121
4.52,-1.16420655689947
4.56,-0.906211447899501
4.6,-0.692831326548649
4.64,-0.521409342037224
4.68,-0.389261163531736
4.72,-0.293673752503031
4.76,-0.231913299211947
4.8,-0.201224654828239
4.84,-0.198842634074938
4.88,-0.221990062706994
4.92,-0.267895905090222
4.96,-0.33375565876719
5,-0.416890467300724
5.04,-0.514422782698654
5.08,-0.623492190608126
5.12,-0.742649404710109
5.16,-0.86730182936
5.2,-0.988840199728486
5.24,-1.03518501537135
5.28,-1.00284049777622
5.32,-0.911185719485689
5.36,-0.778480285240105
5.4,-0.620870953206327
5.44,-0.451847431747447
5.48,-0.282119566059413
5.52,-0.119709442119301
5.56,0.0297150856814508
5.6,0.162530523483941
5.64,0.2767411566965
5.68,0.371698459610927
5.72,0.447805270832052
5.76,0.506234037411162
5.8,0.548756555195358
5.84,0.577585847019289
5.88,0.595191371104392
5.92,0.604257999805242
5.96,0.607612051175379
6,0.608095619199114
