"Trazado4"
"Tiempo (sec)","Velocidad angular2 (deg/sec)"
0,0
0.04,0.0233375201097472
0.08,0.103549783401421
0.12,0.243799774864549
0.16,0.44493436591459
0.2,0.710067038461784
0.24,1.04439755885374
0.28,1.45563185370542
0.32,1.95422839250829
0.36,2.5534084028658
0.4,3.26894510991671
0.44,4.11830599698098
0.48,5.11960632191083
0.52,6.28945633882736
0.56,7.64044728904994
0.6,9.17763483413043
0.64,10.8948101140453
0.68,12.769936402893
0.72,14.7616619405184
0.76,16.8064093522132
0.8,18.2058720373995
0.84,19.3932382507077
0.88,20.5568857600325
0.92,21.6961193304425
0.96,22.8115590286635
1,23.9041374180907
1.04,24.9752376079665
1.08,26.0267578674405
1.12,27.0597636205118
1.16,28.0769541572989
1.2,29.0798867443138
1.24,30.0704629646204
1.28,31.0506616651313
1.32,32.0221495502241
1.36,32.9867951481386
1.4,33.945599592657
1.44,34.9005848845696
1.48,35.852941203611
1.52,36.803877269423
1.56,37.7540918802498
1.6,38.7050304313138
1.64,39.6553677485583
1.68,40.6075680466952
1.72,41.5598521186941
1.76,42.5129736061319
1.8,43.465387967189
1.84,44.4156384910011
1.88,45.3619438796379
1.92,46.3015282905846
1.96,47.2305372468829
2,48.1453850638972
2.04,49.0409125461982
2.08,49.9100198339813
2.12,50.7462083070847
2.16,51.5398946834304
2.2,52.2411502580822
2.24,56.4284858592527
2.28,46.6454247306992
2.32,20.6087349270421
2.36,14.7418850417542
2.4,41.0378202842276
2.44,43.5736610438223
2.48,46.0407730525179
2.52,48.4111584536672
2.56,50.6632224961208
2.6,52.778838718881
2.64,54.7350610656702
2.68,56.5203986278861
2.72,58.120660337571
2.76,59.5272218415164
2.8,60.7410216218127
2.84,61.7612636747373
2.88,62.5945527457409
2.92,63.2501696058046
2.96,63.7422793848064
3,64.0862183267949
3.04,64.2988998449087
3.08,64.398756905831
3.12,64.4100765824584
3.16,64.3475222016878
3.2,64.2290276076893
3.24,64.0849155707608
3.28,63.9259286141213
3.32,63.7734615609316
3.36,63.6476387834666
3.4,63.5665179069971
3.44,63.5490073904633
3.48,63.6211500279671
3.52,63.8072328569074
3.56,64.1369564567408
3.6,65.5804267682804
3.64,61.4857691569419
3.68,41.5209345430532
3.72,10.0565488724017
3.76,26.0021505804247
3.8,37.3591618511377
3.84,35.3152223912586
3.88,33.2935728883179
3.92,31.3195901776218
3.96,29.3849488475352
4,27.4883452811609
4.04,25.6315583128877
4.08,23.8156428847686
4.12,22.0427247420564
4.16,20.3146195157241
4.2,18.6343652227927
4.24,17.003913396014
4.28,15.4266114789262
4.32,13.9041839430681
4.36,12.4371604471961
4.4,11.029947905431
4.44,9.68340728010218
4.48,8.3987733475278
4.52,7.17773454931777
4.56,6.02145891466944
4.6,4.93056754710229
4.64,3.90678121201593
4.68,2.95037773494655
4.72,2.06187534107718
4.76,1.24189897152283
4.8,0.491027195043164
4.84,0.190648717834268
4.88,0.802892917294749
4.92,1.34572788162632
4.96,1.81845101541057
5,2.22597341587972
5.04,2.55529406373627
5.08,2.82670924344463
5.12,3.05950619552385
5.16,3.13274627866124
5.2,2.6170253339538
5.24,0.344762158861598
5.28,1.43935874028283
5.32,2.74453333646418
5.36,3.61008495006444
5.4,4.0953729850736
5.44,4.269901162782
5.48,4.20113334219721
5.52,3.9561062333918
5.56,3.59015184305307
5.6,3.15172857332151
5.64,2.67544116855779
5.68,2.19431013202678
5.72,1.73085555577854
5.76,1.30331962608437
5.8,0.925448230889532
5.84,0.605900296252801
5.88,0.350408279095879
5.92,0.161011048387882
5.96,0.0454207402114767
6,0.00146544498238914
