"Trazado2"
"Tiempo (sec)","Desplazamiento angular2 (deg)"
0,4.3569988061487e-05
0.04,0.000615117912757674
0.08,0.00461510904126424
0.12,0.015469028934661
0.16,0.0366002442975935
0.2,0.0714350461122002
0.24,0.123411238223019
0.28,0.195989245739394
0.32,0.292663616499602
0.36,0.416972781630829
0.4,0.572505143127872
0.44,0.762895694424716
0.48,0.991815204810551
0.52,1.26294223730815
0.56,1.57992428121299
0.6,1.94632320424536
0.64,2.36554877645848
0.68,2.84078338334226
0.72,3.37490555600326
0.76,3.9704193907001
0.8,4.62939053574333
0.84,5.35340242665465
0.88,6.14353984825937
0.92,7.00038833044973
0.96,7.92405367581225
1,8.91421564321804
1.04,9.97017595787733
1.08,11.0909386887487
1.12,12.2752697832231
1.16,13.5217830275774
1.2,14.8289971433182
1.24,16.1953956870979
1.28,17.6194923558746
1.32,19.099856205822
1.36,20.6351655529574
1.4,22.2242201259648
1.44,23.8659753366043
1.48,25.5595518865416
1.52,27.3042351330477
1.56,29.0995038921558
1.6,30.9450261550075
1.64,32.840636064772
1.68,34.7863788929935
1.72,36.7824705386317
1.76,38.8293226400927
1.8,40.9275199506801
1.84,43.0777832021743
1.88,45.281016737635
1.92,47.5382246646655
1.96,49.8504639143193
2,52.2187692735857
2.04,54.6438842040069
2.08,57.1258947777407
2.12,59.6632622070328
2.16,62.2504651707839
2.2,64.8714804861175
2.24,67.4777968961621
2.28,69.8903984386333
2.32,71.3924022540026
2.36,71.0120092714623
2.4,68.8681570873427
2.44,65.7876629957149
2.48,62.5569981183791
2.52,59.3575023641836
2.56,56.1935423621621
2.6,53.042359437788
2.64,49.8845490563665
2.68,46.7219405284186
2.72,43.565357292908
2.76,40.415230911285
2.8,37.2607474880865
2.84,34.094386750747
2.88,30.9289639015867
2.92,27.8080849952547
2.96,24.7903567638471
3,21.9132652610454
3.04,19.1923414634247
3.08,16.6997156490272
3.12,14.5207791470866
3.16,12.6496486018741
3.2,10.9874748799118
3.24,9.41088578633686
3.28,7.82320576091531
3.32,6.16413614069647
3.36,4.40262343582399
3.4,2.54194767502639
3.44,0.610188506509548
3.48,-1.37399074772074
3.52,-3.44509720688543
3.56,-5.68851047802331
3.6,-8.24608587619451
3.64,-11.098345544673
3.68,-13.7917624788782
3.72,-15.2282272031307
3.76,-15.1062860968812
3.8,-14.4991347467266
3.84,-13.7384883348391
3.88,-12.9304482297795
3.92,-12.1218495594055
3.96,-11.3371397049062
4,-10.5903248446383
4.04,-9.88971135986073
4.08,-9.24020932494246
4.12,-8.64452592472986
4.16,-8.10385527316948
4.2,-7.61828682444685
4.24,-7.18707953342957
4.28,-6.80884136406467
4.32,-6.48165317212783
4.36,-6.20315158317319
4.4,-5.97057001536185
4.44,-5.78078419383373
4.48,-5.63032741792043
4.52,-5.51538479688383
4.56,-5.43178924297826
4.6,-5.37500005563663
4.64,-5.34007409870588
4.68,-5.32163965979624
4.72,-5.31386926574339
4.76,-5.31046836968357
4.8,-5.30469111459348
4.84,-5.28940366072737
4.88,-5.25721780020297
4.92,-5.20072135117749
4.96,-5.11282182138509
5,-4.98721384563793
5.04,-4.81893895378866
5.08,-4.60496960826838
5.12,-4.3447250146554
5.16,-4.040854691223
5.2,-3.70198814819194
5.24,-3.34053244829357
5.28,-2.96964576110069
5.32,-2.60170047037263
5.36,-2.24715660487587
5.4,-1.91408599506664
5.44,-1.60812935935045
5.48,-1.33279635563347
5.52,-1.08977478930602
5.56,-0.879390737340055
5.6,-0.700879229241249
5.64,-0.552737747678636
5.68,-0.432866720858071
5.72,-0.338738728609203
5.76,-0.267560743151338
5.8,-0.216319207209332
5.84,-0.181835864583785
5.88,-0.16087695503848
5.92,-0.150112290933175
5.96,-0.146135015226588
6,-0.145561813284723
