"Trazado4"
"Tiempo (sec)","Velocidad angular2 (deg/sec)"
0,0
0.04,0.0114308933333228
0.08,0.0608650146849971
0.12,0.211077690594255
0.16,0.416350958665412
0.2,0.591416243188827
0.24,0.915905925190695
0.28,1.3166630343649
0.32,1.66121900295143
0.36,1.99845023662092
0.4,2.49011589315166
0.44,3.08677504352984
0.48,3.66491544334354
0.52,4.18478041285458
0.56,4.75269448742824
0.6,5.41924230426811
0.64,6.10200156539285
0.68,6.76479744704737
0.72,7.44596063138856
0.76,8.14587123073742
0.8,8.84413689014815
0.84,9.54325039168698
0.88,10.2421740717019
0.92,10.935588967976
0.96,11.6222529709888
1,12.2999041199932
1.04,12.9669554676126
1.08,13.6222283778231
1.12,14.26433129948
1.16,14.8929298820845
1.2,15.5073859414872
1.24,16.1074659811092
1.28,16.6902780849291
1.32,17.2419460790597
1.36,18.342238228395
1.4,19.5732907059191
1.44,19.6803294684148
1.48,18.4542122765572
1.52,16.8724569535837
1.56,16.9629640246284
1.6,17.0320328219907
1.64,17.0823524834556
1.68,17.1152236419282
1.72,17.130233262601
1.76,17.1281687807354
1.8,17.1089921073103
1.84,17.0725292299742
1.88,17.0200566775259
1.92,16.9505939936113
1.96,16.8644081572364
2,16.7617884254054
2.04,16.6427627189721
2.08,16.5070242823557
2.12,16.354806748634
2.16,16.1860940108778
2.2,16.0001362445895
2.24,15.7976412926717
2.28,15.5780476747929
2.32,15.3416725145817
2.36,15.0875238288764
2.4,14.8162983370164
2.44,14.5271255465186
2.48,14.2201523560541
2.52,13.89531972109
2.56,13.551876723003
2.6,13.1902368465181
2.64,12.8095056320099
2.68,12.4100687430954
2.72,12.0059430367503
2.76,11.2360040667932
2.8,30.1946974390587
2.84,30.2465004068561
2.88,30.3228260397112
2.92,30.3718074849372
2.96,30.391253895766
3,30.3853259023518
3.04,30.3537300941167
3.08,30.2972031807376
3.12,30.2202070424434
3.16,26.4296662406949
3.2,9.70869717247858
3.24,15.1794811212952
3.28,18.999802722195
3.32,8.47666459421428
3.36,2.22104761610864
3.4,8.8893955791372
3.44,13.3787818422713
3.48,15.9894914950439
3.52,17.1836525475725
3.56,17.358251485654
3.6,17.2687678522897
3.64,17.0489772682961
3.68,16.7016864986506
3.72,16.2230233194802
3.76,15.6078848541193
3.8,14.8489561283664
3.84,13.9412197787657
3.88,12.8861867493232
3.92,11.6915016533579
3.96,10.3783553229204
4,10.8663375886527
4.04,14.0382151516611
4.08,16.7016378855969
4.12,19.0357843916793
4.16,21.126422466126
4.2,22.991923986206
4.24,24.5695050979918
4.28,25.690869542304
4.32,26.0827719594122
4.36,26.0242139463778
4.4,25.9034508454096
4.44,25.9612693824181
4.48,26.1684465589502
4.52,25.9765345887626
4.56,21.7761215849595
4.6,9.76187846116023
4.64,1.50415691577322
4.68,4.0307790337884
4.72,3.68871092154995
4.76,3.38212415349132
4.8,3.0840619575245
4.84,2.80490812707412
4.88,2.54436238266263
4.92,2.30175240822975
4.96,2.07664458277161
5,1.86837440989907
5.04,1.67617280863418
5.08,1.49908743951664
5.12,1.33727636095602
5.16,1.18704400988825
5.2,1.05397379482352
5.24,0.928268080676441
5.28,0.803810477028775
5.32,0.734882475314153
5.36,0.634967309894796
5.4,0.512248690728019
5.44,5.37926793694484
5.48,4.30416149813143
5.52,3.82904216455564
5.56,3.20789261325743
5.6,2.61458950892499
5.64,2.10392026971565
5.68,1.66173512040653
5.72,1.27687271699282
5.76,0.944405162342942
5.8,0.662575439141442
5.84,0.430329625757364
5.88,0.247650594898347
5.92,0.113500181517451
5.96,0.0319856505669151
6,0.00103179092306573
