"Trazado2"
"Tiempo (sec)","Desplazamiento angular2 (deg)"
0,0.00198108051473401
0.04,0.00217160510268888
0.08,0.00368429119548122
0.12,0.00944051692783011
0.16,0.0231308868126095
0.2,0.0440826746908301
0.24,0.0751628760270343
0.28,0.121830616752137
0.32,0.183398305360911
0.36,0.258081800488458
0.4,0.349568615920281
0.44,0.46406131164394
0.48,0.602146306186365
0.52,0.761751331309852
0.56,0.943081753846675
0.6,1.14960698010565
0.64,1.3834932205162
0.68,1.64415630812108
0.72,1.93168929302479
0.76,2.24701913727414
0.8,2.59031956001369
0.84,2.96155406865189
0.88,3.36076926730198
0.92,3.78781214749874
0.96,4.24242717389635
1,4.72429043121127
1.04,5.2329981397373
1.08,5.76809483973621
1.12,6.32907652513816
1.16,6.91540905366352
1.2,7.52653335984791
1.24,8.16186972714498
1.28,8.82080616626587
1.32,9.50273479578611
1.36,10.2145529521401
1.4,10.9820933943542
1.44,11.7715925194425
1.48,12.532557010885
1.52,13.2221240167152
1.56,13.8994074645685
1.6,14.5797055127779
1.64,15.2622987065339
1.68,15.9464701194196
1.72,16.6315100753357
1.76,17.3167252790906
1.8,18.0014311510593
1.84,18.6849461006687
1.88,19.366594219525
1.92,20.0457122112344
1.96,20.7216340915451
2,21.3937029195081
2.04,22.0612514983977
2.08,22.7236191627155
2.12,23.3801463668184
2.16,24.0301682396427
2.2,24.6730125437912
2.24,25.3080086899962
2.28,25.9344805503883
2.32,26.5517458417637
2.36,27.1591147657415
2.4,27.7558902769629
2.44,28.3413682372982
2.48,28.9148388424255
2.52,29.4755824114591
2.56,30.0228697707322
2.6,30.5559613497466
2.64,31.0741100600385
2.68,31.5765606377056
2.72,32.062665093164
2.76,32.1855735530179
2.8,31.2911498540415
2.84,30.0853632955788
2.88,28.8738637822226
2.92,27.6598903461619
2.96,26.444567776084
3,25.2289647880159
3.04,24.0141229535296
3.08,22.8010353167793
3.12,21.5906472676883
3.16,20.4039083731503
3.2,19.7486131292043
3.24,19.7264134781987
3.28,20.4583802659747
3.32,21.0320757520792
3.36,21.1437761700741
3.4,20.9127614998962
3.44,20.4604887324422
3.48,19.8676181393004
3.52,19.2000939303122
3.56,18.5069639889671
3.6,17.8139831539615
3.64,17.1273203211627
3.68,16.4520043801586
3.72,15.7931784231717
3.76,15.1562031949482
3.8,14.5466996317524
3.84,13.9705287423925
3.88,13.4336263576695
3.92,12.9417575262451
3.96,12.5000859881924
4,12.0877622537342
4.04,11.5876852589952
4.08,10.9719319544932
4.12,10.2565257479544
4.16,9.45274655633917
4.2,8.5697871044292
4.24,7.61766344639453
4.28,6.61091085169592
4.32,5.57381588516284
4.36,4.53121453211248
4.4,3.49295871454035
4.44,2.45616037329941
4.48,1.41369093466173
4.52,0.367649778168333
4.56,-0.608676255832999
4.6,-1.24357172771447
4.64,-1.45275557502379
4.68,-1.34416014141991
4.72,-1.19116522133865
4.76,-1.0511740262796
4.8,-0.923400280393887
4.84,-0.80707710231307
4.88,-0.70145459318984
4.92,-0.60580280371462
4.96,-0.519412873090309
5,-0.441604176681598
5.04,-0.371722512598413
5.08,-0.309148513866568
5.12,-0.253276565779546
5.16,-0.203576623513146
5.2,-0.159485540448492
5.24,-0.120435112429639
5.28,-0.0865166479936253
5.32,-0.0562505288246467
5.36,-0.0289068528257626
5.4,-0.00733299860067121
5.44,0.151685324849057
5.48,0.33680394122816
5.52,0.498069432225047
5.56,0.63587361572543
5.6,0.749070685167359
5.64,0.840643002445832
5.68,0.913545716730064
5.72,0.970230005239491
5.76,1.0128473838336
5.8,1.04342743937947
5.84,1.06396429556223
5.88,1.07642980040315
5.92,1.08282722046662
5.96,1.08519005247128
6,1.08553054387275
