"Trazado2"
"Tiempo (sec)","Desplazamiento angular2 (deg)"
0,2.32731451732095e-06
0.04,0.00022579415579032
0.08,0.00178969838679637
0.12,0.00603303742693715
0.16,0.0142930783346611
0.2,0.0279063987076958
0.24,0.0482112076421415
0.28,0.076550918618165
0.32,0.114278707500702
0.36,0.1627629794004
0.4,0.223393779927789
0.44,0.29758887453791
0.48,0.386801199502391
0.52,0.492524470194161
0.56,0.616299278772435
0.6,0.759717525535714
0.64,0.924425360293996
0.68,1.11212353590717
0.72,1.32456570015873
0.76,1.56355404355955
0.8,1.83092949862664
0.84,2.12855931546434
0.88,2.45832291425965
0.92,2.8220908465454
0.96,3.22169889544501
1,3.65892512018656
1.04,4.13545539716793
1.08,4.65285700374944
1.12,5.21253992278961
1.16,5.81573029788868
1.2,6.46343310589734
1.24,7.1564004496563
1.28,7.89510877931167
1.32,8.6797225543989
1.36,9.51007943149035
1.4,10.3856601921311
1.44,11.3055763133021
1.48,12.2685493204567
1.52,13.2728879955414
1.56,14.3164855596231
1.6,15.3968002750757
1.64,16.5108261049952
1.68,17.6551041519769
1.72,18.8256846185123
1.76,20.0181278660546
1.8,21.2274785628574
1.84,22.4482344908707
1.88,23.6743686126527
1.92,24.8992844451668
1.96,26.1158101371339
2,27.3162065280574
2.04,28.4921332867182
2.08,29.6346883212212
2.12,30.734418254084
2.16,31.7813430009229
2.2,32.7650087858612
2.24,33.6745824399857
2.28,34.4989492346647
2.32,35.2268577456423
2.36,35.8471052117329
2.4,36.3487706637982
2.44,36.7214950654354
2.48,36.9558077061957
2.52,37.0434898618386
2.56,36.9779709445111
2.6,36.754732182677
2.64,36.3716875648628
2.68,35.8295075455044
2.72,35.1318485210959
2.76,34.2854539468064
2.8,33.3000766475736
2.84,32.1882350617158
2.88,30.9647885804008
2.92,29.6463545126772
2.96,28.2506593327455
3,26.7957882365923
3.04,25.2995286403443
3.08,23.7787406600392
3.12,22.2488839093734
3.16,20.7237023194446
3.2,19.2149923834826
3.24,17.7326089130072
3.28,16.2844718753106
3.32,14.8767360964981
3.36,13.5139722368355
3.4,12.1993998026805
3.44,10.9350946948527
3.48,9.7222027723345
3.52,8.56116415760423
3.56,7.45186273427536
3.6,6.3937923548738
3.64,5.38620160855838
3.68,4.42816076887817
3.72,3.51867679451249
3.76,2.65675933176774
3.8,1.8414689835698
3.84,1.07197981459487
3.88,0.347584765507561
3.92,-0.332240615384261
3.96,-0.967869554656765
4,-1.55945035677296
4.04,-2.10695603126304
4.08,-2.6101584727876
4.12,-3.06864132286
4.16,-3.48181666582156
4.2,-3.84896494740805
4.24,-4.16927710624502
4.28,-4.44191708389428
4.32,-4.66610163390996
4.36,-4.84120102240647
4.4,-4.96686444205594
4.44,-5.04313795946264
4.48,-5.07059325768907
4.52,-5.05044290822233
4.56,-4.98462034229569
4.6,-4.87581950488268
4.64,-4.72747213656291
4.68,-4.54367533854745
4.72,-4.32905968058268
4.76,-4.08863038094443
4.8,-3.82756667867585
4.84,-3.55105881993322
4.88,-3.26413780063406
4.92,-2.97154123299973
4.96,-2.6776089008547
5,-2.38623152188782
5.04,-2.10081355816236
5.08,-1.82425870195865
5.12,-1.55898428715333
5.16,-1.30696196190008
5.2,-1.06970095433021
5.24,-0.848348271463019
5.28,-0.643670609746345
5.32,-0.456133619899241
5.36,-0.285910899553118
5.4,-0.132928390201407
5.44,0.00311341475586453
5.48,0.122692926590272
5.52,0.22647140181852
5.56,0.315237817225577
5.6,0.389918022609211
5.64,0.451523589183382
5.68,0.501165408949802
5.72,0.54003424373775
5.76,0.569368449963527
5.8,0.590458571400447
5.84,0.60463921972035
5.88,0.61325369698005
5.92,0.617676887704335
5.96,0.619310932245559
6,0.619546420030196
