"Trazado3"
"Tiempo (sec)","Velocidad angular1 (deg/sec)"
0,0
0.04,0.0230388754564723
0.08,0.102013704620361
0.12,0.238750864926699
0.16,0.430537853373432
0.2,0.673473251855924
0.24,0.961153475647321
0.28,1.28400755989431
0.32,1.62856583023143
0.36,1.97665298866258
0.4,2.30462311501389
0.44,2.58243399542689
0.48,2.77317205367346
0.52,2.83266578962786
0.56,2.71008288252455
0.6,2.34967117812166
0.64,1.69427496706074
0.68,0.690773534106709
0.72,0.702495426009948
0.76,2.50767441300982
0.8,2.97507760491435
0.84,2.91375610727347
0.88,2.79392998831247
0.92,2.61223066516019
0.96,2.36617958641419
1,2.05437924474268
1.04,1.67534697382883
1.08,1.22824733285584
1.12,0.712386105594889
1.16,0.127423074452203
1.2,0.526837983827596
1.24,1.25039625614882
1.28,2.04311143352756
1.32,2.90469060685223
1.36,3.83473446246476
1.4,4.83261993322476
1.44,5.89771770918508
1.48,7.02917868805277
1.52,8.2260154558446
1.56,9.48700154080815
1.6,10.8109636044275
1.64,12.1958324255977
1.68,13.6404995027182
1.72,15.1424900632614
1.76,16.7000907652323
1.8,18.3107808099164
1.84,19.9720799387574
1.88,21.6815611792029
1.92,23.436631109922
1.96,25.2345851984154
2,27.0735070173063
2.04,28.951519951456
2.08,30.8667486179524
2.12,32.818901201346
2.16,34.8128664806054
2.2,36.9735075382758
2.24,10.3836091993947
2.28,24.1061135372861
2.32,50.9571525582097
2.36,64.6828724020679
2.4,63.7544588812654
2.44,63.4024515361087
2.48,63.216795706978
2.52,63.1483121802858
2.56,63.1737760785856
2.6,63.2729631844892
2.64,63.4204761745042
2.68,63.602011316601
2.72,63.7959446198111
2.76,63.9823410931744
2.8,64.1463877409903
2.84,64.2660435311376
2.88,64.3222343387164
2.92,64.2943526024006
2.96,64.1634452266974
3,63.9094554347922
3.04,63.5129418755612
3.08,62.9562854943906
3.12,62.2291373815857
3.16,61.3144628316355
3.2,60.2022434510921
3.24,58.8984966404568
3.28,57.3955020756522
3.32,55.7004619779689
3.36,53.823804446749
3.4,51.7780005279369
3.44,49.5792051187635
3.48,47.2506719789263
3.52,44.8138118918187
3.56,42.2915019579438
3.6,36.2268882428521
3.64,1.62106536597065
3.68,34.3468000132099
3.72,53.61121307225
3.76,55.821176111947
3.8,52.1337104387814
3.84,51.591689973282
3.88,50.8348685700521
3.92,50.0285443414117
3.96,49.1881123328218
4,48.3192744032373
4.04,47.4299547559624
4.08,46.5247070090732
4.12,45.6082392282194
4.16,44.6831850694779
4.2,43.7537230694138
4.24,42.8209648918896
4.28,41.888994097841
4.32,40.9577737112387
4.36,40.0230146646714
4.4,39.0923522224592
4.44,38.1632573456763
4.48,37.2340467538189
4.52,36.305336969595
4.56,35.3762553878263
4.6,34.4429959214147
4.64,33.5097303157283
4.68,32.572384164042
4.72,31.6279839473409
4.76,30.6747758270044
4.8,29.7154931910096
4.84,28.7438558112624
4.88,27.7594687973059
4.92,26.7588229008288
4.96,25.7413051918463
5,24.7066266872824
5.04,23.6466549672521
5.08,22.5664255593735
5.12,21.4738078604635
5.16,20.3139292660153
5.2,18.9136284264742
5.24,16.630837158852
5.28,14.3642560829731
5.32,12.2063969762669
5.36,10.2202749148245
5.4,8.4430508832933
5.44,6.89131716587845
5.48,5.56019418426458
5.52,4.44003852534955
5.56,3.50835050694936
5.6,2.74203030304839
5.64,2.11331137510711
5.68,1.60178625929338
5.72,1.1866028229089
5.76,0.851470055301319
5.8,0.583666766691285
5.84,0.373023167468659
5.88,0.212523529293961
5.92,0.096881317429473
5.96,0.0272448480531781
6,0.000878531635003989
