"Trazado1"
"Tiempo (sec)","Desplazamiento angular1 (deg)"
5.6,-1.46982457417073
5.64,-1.55331041215479
5.68,-1.64853287805596
5.72,-1.7553709112251
5.76,-1.87365077500659
5.8,-2.00314678508539
5.84,-2.14358337407864
5.88,-2.29462912580271
5.92,-2.4559049956152
5.96,-2.62699335240699
6,-2.80751183497754
6.04,-2.99343892036311
6.08,-3.17919566495704
6.12,-3.3644640608444
6.16,-3.54934646381255
6.2,-3.73382088919672
6.24,-3.91786657310643
6.28,-4.10149153141559
6.32,-4.28469640698427
6.36,-4.46747907073824
6.4,-4.64983850479083
6.44,-4.83176832974879
6.48,-5.0132687376196
6.52,-5.19433765825022
6.56,-5.37497025424151
6.6,-5.55516583483456
6.64000000000001,-5.73491940720322
6.68000000000001,-5.91422738092614
6.72000000000001,-6.09308746882963
6.76000000000001,-6.2714932904383
6.80000000000001,-6.44944380447842
6.84000000000001,-6.62693195353599
6.88000000000001,-6.8039527072183
6.92000000000001,-6.9805048591966
6.96000000000001,-7.15657948578952
7.00000000000001,-7.3321753005129
7.04000000000001,-7.50728345869895
7.08000000000001,-7.68190136268625
7.12000000000001,-7.8560217259693
7.16000000000001,-8.02964375399018
7.20000000000001,-8.20275302336972
7.24000000000001,-8.37534808631963
7.28000000000001,-8.54742269520105
7.32000000000001,-8.71897176557907
7.36000000000001,-8.88998678430871
7.40000000000001,-9.06046382465589
7.44000000000001,-9.23039332924449
7.48000000000001,-9.39977136732988
7.52000000000001,-9.56858957061315
7.56000000000001,-9.73684180415929
7.60000000000001,-9.90452085838398
7.64000000000001,-10.0716195528126
7.68000000000001,-10.2381307313056
7.72000000000001,-10.4040462257623
7.76000000000001,-10.5693599676437
7.80000000000001,-10.7340648463488
7.84000000000001,-10.8981507560448
7.88000000000001,-11.0616156392148
7.92000000000001,-11.2244444879167
7.96000000000001,-11.3866332840225
8.00000000000001,-11.5481721139257
8.04,-11.7090559217968
8.08,-11.869273905546
8.12,-12.0288191214905
8.16,-12.1876836755626
8.2,-12.3458578531215
8.24,-12.5033347284746
8.28,-12.6601046512986
8.32,-12.8161598100833
